# !!!performance-id:	pid9111b-14
# !!!title:		Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:		1
# !!!date: 		2007/04/01/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer: 		Andrzej Wasowski
# !!!performance-date:	1980
# !!!label:		Concord CCD-42036
# !!!label-title:		Chopin 51 Mazurkas
# !!!offset:		0
0.128	0:3
1.058	1:1
1.858	1:2
2.506	1:3
2.968	2:1
3.498	2:2
4.328	2:3
4.778	3:1
5.328	3:2
5.857	3:3
6.278	4:1
6.718	4:2
7.308	4:3
7.738	5:1
8.298	5:2
8.968	5:3
9.398	6:1
9.828	6:2
10.371	6:3
10.858	7:1
11.376	7:2
12.038	7:3
12.578	8:1
12.998	8:2
13.498	8:3
14.068	9:1
14.708	9:2
15.258	9:3
15.688	10:1
16.128	10:2
16.678	10:3
17.088	11:1
17.498	11:2
18.008	11:3
18.388	12:1
18.758	12:2
19.198	12:3
19.608	13:1
20.208	13:2
20.888	13:3
21.478	14:1
21.908	14:2
22.448	14:3
23.108	15:1
23.828	15:2
24.658	15:3
25.348	16:1
26.245	16:2
26.808	16:3
27.288	17:1
27.698	17:2
28.061	17:3
28.398	18:1
28.768	18:2
29.078	18:3
29.398	19:1
29.816	19:2
30.348	19:3
30.808	20:1
31.208	20:2
31.548	20:3
31.958	21:1
32.408	21:2
32.908	21:3
33.378	22:1
33.888	22:2
34.448	22:3
35.200	23:1
35.841	23:2
36.258	23:3
36.698	24:1
37.368	24:2
38.038	24:3
38.728	25:1
39.588	25:2
40.388	25:3
40.878	26:1
41.367	26:2
41.731	26:3
42.068	27:1
42.488	27:2
42.998	27:3
43.468	28:1
43.868	28:2
44.228	28:3
44.798	29:1
45.269	29:2
45.678	29:3
46.108	30:1
46.578	30:2
47.088	30:3
48.148	31:1
48.878	31:2
49.508	31:3
50.018	32:1
50.980	32:2
52.139	32:3
53.278	33:1
54.224	33:2
54.665	33:3
55.258	34:1
55.578	34:2
56.288	34:3
56.718	35:1
57.114	35:2
57.828	35:3
58.268	36:1
58.718	36:2
59.238	36:3
59.958	37:1
60.637	37:2
60.998	37:3
61.310	38:1
61.648	38:2
62.029	38:3
62.338	39:1
62.698	39:2
63.058	39:3
63.468	40:1
64.078	40:2
64.898	40:3
65.818	41:1
66.645	41:2
67.038	41:3
67.398	42:1
67.818	42:2
68.258	42:3
68.568	43:1
68.868	43:2
69.198	43:3
69.558	44:1
70.057	44:2
70.688	44:3
71.108	45:1
71.657	45:2
71.968	45:3
72.358	46:1
72.902	46:2
73.578	46:3
73.968	47:1
74.588	47:2
75.348	47:3
75.878	48:1
77.058	48:2
78.629	48:3
79.558	49:1
80.367	49:2
80.931	49:3
81.468	50:1
82.453	50:2
83.188	50:3
83.748	51:1
84.258	51:2
84.727	51:3
85.188	52:1
86.178	52:2
86.998	52:3
87.568	53:1
88.228	53:2
88.706	53:3
89.088	54:1
89.458	54:2
89.848	54:3
90.208	55:1
90.608	55:2
91.018	55:3
91.418	56:1
91.828	56:2
92.248	56:3
92.738	57:1
93.208	57:2
93.669	57:3
94.068	58:1
94.608	58:2
95.188	58:3
95.698	59:1
96.188	59:2
96.608	59:3
96.998	60:1
97.518	60:2
97.928	60:3
98.269	61:1
98.718	61:2
99.178	61:3
99.848	62:1
100.780	62:2
101.498	62:3
103.218	63:1
104.058	63:2
104.548	63:3
105.078	64:1
105.888	64:2
107.355	64:3
108.490	65:1
109.188	65:2
109.714	65:3
110.218	66:1
110.878	66:2
111.838	66:3
113.037	67:1
113.873	67:2
114.424	67:3
115.178	68:1
115.778	68:2
116.278	68:3
116.808	69:1
117.600	69:2
118.138	69:3
118.588	70:1
119.108	70:2
119.688	70:3
120.308	71:1
120.948	71:2
121.468	71:3
121.898	72:1
122.518	72:2
123.118	72:3
123.608	73:1
124.238	73:2
124.878	73:3
125.768	74:1
126.248	74:2
126.858	74:3
128.838	75:1
129.588	75:2
130.018	75:3
130.498	76:1
131.458	76:2
