# !!!performance-id:      pid9103-10
# !!!title:               Mazurka in B minor, Op. 30, No. 2
# !!!trials:               1
# !!!date:                2007/03/03/
# !!!reverse-conductor:   Craig Stuart Sapp
# !!!performer:           Stephane Blet
# !!!performance-date:    2003
# !!!label:               Marcal MA030501
# !!!label-title:         Frederic Chopin: 23 Mazurkas
# !!!offset:		0
0.568	0:3
1.510	1:1
1.796	1:2
2.228	1:3
2.598	2:1
3.108	2:2
3.896	2:3
4.408	3:1
4.668	3:2
5.018	3:3
5.506	4:1
6.028	4:2
6.658	4:3
7.527	5:1
7.838	5:2
8.208	5:3
8.538	6:1
9.098	6:2
9.698	6:3
10.148	7:1
10.404	7:2
10.748	7:3
11.278	8:1
12.073	8:2
12.755	8:3
13.637	9:1
13.882	9:2
14.258	9:3
14.568	10:1
15.078	10:2
15.568	10:3
16.008	11:1
16.308	11:2
16.588	11:3
17.045	12:1
17.714	12:2
18.535	12:3
19.253	13:1
19.604	13:2
19.938	13:3
20.258	14:1
20.822	14:2
21.268	14:3
21.748	15:1
22.038	15:2
22.358	15:3
22.819	16:1
23.644	16:2
24.278	16:3
25.343	17:1
25.984	17:2
26.548	17:3
26.910	18:1
27.237	18:2
27.576	18:3
27.878	19:1
28.218	19:2
28.698	19:3
28.978	20:1
29.258	20:2
29.578	20:3
29.849	21:1
30.148	21:2
30.488	21:3
30.748	22:1
31.048	22:2
31.338	22:3
31.792	23:1
32.196	23:2
32.778	23:3
33.398	24:1
34.061	24:2
34.588	24:3
35.449	25:1
35.888	25:2
36.461	25:3
36.804	26:1
37.108	26:2
37.418	26:3
37.728	27:1
38.048	27:2
38.518	27:3
38.837	28:1
39.098	28:2
39.418	28:3
39.686	29:1
39.998	29:2
40.318	29:3
40.608	30:1
40.928	30:2
41.228	30:3
41.648	31:1
42.180	31:2
42.788	31:3
43.208	32:1
43.824	32:2
44.368	32:3
45.498	33:1
45.824	33:2
46.412	33:3
46.780	34:1
47.178	34:2
47.494	34:3
47.800	35:1
48.078	35:2
48.428	35:3
48.828	36:1
49.318	36:2
49.620	36:3
49.873	37:1
50.148	37:2
50.558	37:3
50.918	38:1
51.335	38:2
51.808	38:3
52.445	39:1
52.738	39:2
53.188	39:3
53.578	40:1
54.048	40:2
54.488	40:3
55.057	41:1
55.604	41:2
56.048	41:3
56.408	42:1
56.888	42:2
57.249	42:3
57.502	43:1
57.816	43:2
58.178	43:3
58.608	44:1
59.068	44:2
59.449	44:3
59.928	45:1
60.228	45:2
60.578	45:3
60.998	46:1
61.478	46:2
62.106	46:3
62.792	47:1
63.098	47:2
63.698	47:3
64.218	48:1
64.882	48:2
65.268	48:3
65.878	49:1
66.408	49:2
66.998	49:3
67.328	50:1
67.648	50:2
67.988	50:3
68.282	51:1
68.608	51:2
69.061	51:3
69.348	52:1
69.648	52:2
69.978	52:3
70.258	53:1
70.548	53:2
70.898	53:3
71.198	54:1
71.508	54:2
71.808	54:3
72.218	55:1
72.588	55:2
73.188	55:3
73.768	56:1
74.404	56:2
74.873	56:3
75.812	57:1
76.258	57:2
76.708	57:3
77.048	58:1
77.308	58:2
77.618	58:3
77.898	59:1
78.258	59:2
78.678	59:3
78.968	60:1
79.258	60:2
79.578	60:3
79.858	61:1
80.178	61:2
80.528	61:3
80.848	62:1
81.208	62:2
81.578	62:3
82.058	63:1
82.698	63:2
83.559	63:3
84.108	64:1
84.858	64:2
