1.724081633	1.2
2.994988662	1.3
4.254149660	1.4
5.506984127	2.1
6.827755102	2.2
8.120249433	2.3
9.355102041	2.4
10.622040816	3.1
11.911836735	3.2
13.159047619	3.3
14.523106576	3.4
15.750181406	4.1
17.021791383	4.2
18.311247166	4.3
19.617437642	4.4
20.740453515	5.1
21.847097506	5.2
22.910839002	5.3
23.986258503	5.4
25.008004535	6.1
26.158299320	6.2
27.256530612	6.3
28.358526077	6.4
29.445396825	7.1
30.566122449	7.2
31.661541950	7.3
32.770544218	7.4
33.827619048	8.1
35.004081633	8.2
36.130612245	8.3
37.232698413	8.4
38.307301587	9.1
39.429319728	9.2
40.443333333	9.3
41.501179138	9.4
42.581337868	10.1
43.654897959	10.2
44.749342404	10.3
45.762811791	10.4
46.860997732	11.1
47.909002268	11.2
49.013809524	11.3
50.152925170	11.4
51.121247166	12.1
52.310204082	12.2
53.300612245	12.3
54.458775510	12.4
55.542857143	13.1
56.626666667	13.2
57.664308390	13.3
58.724739229	13.4
59.973877551	14.1
61.211428571	14.2
62.360816327	14.3
63.457959184	14.4
64.544671202	15.1
65.606734694	15.2
66.644104308	15.3
67.673242630	15.4
68.637755102	16.1
69.635918367	16.2
70.631065760	16.3
71.673582766	16.4
72.659886621	17.1
73.704467120	17.2
74.731065760	17.3
75.736462585	17.4
76.738072562	18.1
77.723174603	18.2
78.771904762	18.3
79.798662132	18.4
80.835260771	19.1
81.887505669	19.2
82.988163265	19.3
84.009297052	19.4
84.987732426	20.1
85.957256236	20.2
86.926802721	20.3
87.945918367	20.4
88.973718821	21.1
89.943877551	21.2
91.031405896	21.3
92.015351474	21.4
92.996916100	22.1
93.979501134	22.2
94.995283447	22.3
96.021791383	22.4
97.006530612	23.1
98.034965986	23.2
99.275102041	23.3
100.501700680	23.4
101.600000000	24.1
102.712108844	24.2
103.781383220	24.3
104.808594104	24.4
105.848163265	25.1
106.942040816	25.2
108.000000000	25.3
109.033582766	25.4
110.057482993	26.1
111.076031746	26.2
112.107755102	26.3
113.134285714	26.4
114.560000000	27.1
116.277551020	27.2
117.560816327	27.3
119.213061224	27.4
121.138344671	28.1
